"","plot","type","time","sample_id","sample_date","weed_pres","weed_spp","soil_wet_mass_g","soil_dry_mass_g","percent_wc","dna_extraction_date","bacteria_barcode","fungi_barcode","rotation","week","rep","DNA_ng.ul"
"24",118,"bag",1,"S1A2","6/30/2020","","",6.043,5.418,0.115,"11/17/2020","barcode26","barcode26","CSSwP",1,1,13.3884486087258
"25",118,"bulk",1,"S1U2","6/30/2020","","",6.042,5.248,0.151,"11/18/2020","barcode27","barcode27","CSSwP",1,1,82.3773934254427
"26",118,"bag",2,"S2A2","7/7/2020","","",6.048,5.235,0.155,"11/18/2020","barcode28","barcode28","CSSwP",2,1,19.9901687800155
"27",118,"bulk",2,"S2U2","7/7/2020","","",6.027,5.182,0.163,"11/19/2020","barcode29","barcode29","CSSwP",2,1,82.9703685673473
"28",118,"bag",3,"S3A2","7/22/2020","low","mix",6.052,5.199,0.164,"11/20/2020","barcode30","barcode30","CSSwP",4,1,21.1225875483662
"29",118,"bulk",3,"S3U2","7/22/2020","","",6.042,5.201,0.162,"11/23/2020","barcode31","barcode31","CSSwP",4,1,83.1721894168228
"30",118,"bag",4,"S4A2","8/18/2020","low","mix",6.023,5.553,0.085,"11/23/2020","barcode32","barcode32","CSSwP",8,1,31.1843270295385
"31",118,"bulk",4,"S4U2","8/18/2020","","",6.001,5.466,0.098,"11/24/2020","barcode33","barcode33","CSSwP",8,1,103.485585097824
"32",118,"bag",5,"S5A2","9/14/2020","","",6.012,5.2,0.156,"12/2/2020","barcode34","barcode34","CSSwP",12,1,24.9601288273132
"33",118,"bulk",5,"S5U2","9/14/2020","","",6.051,5.099,0.187,"12/3/2020","barcode35","barcode35","CSSwP",12,1,78.6096218858611
"34",213,"bulk",0,"S0U3","6/23/2020","","",6.067,5.262,0.153,"11/12/2020","barcode37","barcode37","CSSwP",0,2,81.2604761608042
"35",213,"bag",1,"S1A3","6/30/2020","","",6.046,5.398,0.12,"11/17/2020","barcode38","barcode38","CSSwP",1,2,13.0588645663651
"36",213,"bulk",1,"S1U3","6/30/2020","","",6.04,5.256,0.149,"11/18/2020","barcode39","barcode39","CSSwP",1,2,83.4896819660668
"37",213,"bag",2,"S2A3","7/7/2020","","",6.034,5.161,0.169,"11/18/2020","barcode40","barcode40","CSSwP",2,2,19.7633579162803
"38",213,"bulk",2,"S2U3","7/7/2020","","",6.045,5.193,0.164,"11/19/2020","barcode41","barcode41","CSSwP",2,2,70.2814432457257
"39",213,"bag",3,"S3A3","7/22/2020","medium","mix",6.026,5.174,0.165,"11/20/2020","barcode42","barcode42","CSSwP",4,2,19.7942129321303
"40",213,"bulk",3,"S3U3","7/22/2020","","",6.001,5.217,0.15,"11/23/2020","barcode43","barcode43","CSSwP",4,2,76.1206926033726
"41",213,"bag",4,"S4A3","8/18/2020","high","grass",6.002,5.484,0.094,"11/23/2020","barcode44","barcode44","CSSwP",8,2,30.7578348152472
"42",213,"bulk",4,"S4U3","8/18/2020","","",6.032,5.462,0.104,"11/24/2020","barcode45","barcode45","CSSwP",8,2,83.4254653322592
"43",213,"bag",5,"S5A3","9/14/2020","","",6.035,5.191,0.163,"12/2/2020","barcode46","barcode46","CSSwP",12,2,29.5639991476291
"44",213,"bulk",5,"S5U3","9/14/2020","","",6.017,5.173,0.163,"12/3/2020","barcode47","barcode47","CSSwP",12,2,76.6219599928282
"45",230,"bulk",0,"S0U4","6/23/2020","","",6.036,5.26,0.148,"11/12/2020","barcode49","barcode49","CS",0,2,86.4877252970693
"46",230,"bag",1,"S1A4","6/30/2020","","",6.036,5.349,0.128,"11/17/2020","barcode50","barcode50","CS",1,2,13.4118049581845
"47",230,"bulk",1,"S1U4","6/30/2020","","",6.034,5.298,0.139,"11/18/2020","barcode51","barcode51","CS",1,2,92.5501990365676
"48",230,"bag",2,"S2A4","7/7/2020","","",6.055,5.264,0.15,"11/18/2020","barcode52","barcode52","CS",2,2,19.6937682194525
"49",230,"bulk",2,"S2U4","7/7/2020","","",6.028,5.248,0.149,"11/19/2020","barcode53","barcode53","CS",2,2,81.5936549094548
"50",230,"bag",3,"S3A4","7/22/2020","medium","grass",6.036,5.127,0.177,"11/20/2020","barcode54","barcode54","CS",4,2,19.0182571601704
"51",230,"bulk",3,"S3U4","7/22/2020","","",6.018,5.148,0.169,"11/23/2020","barcode55","barcode55","CS",4,2,74.2589954338179
"52",230,"bag",4,"S4A4","8/18/2020","high","grass",6.042,5.554,0.088,"11/24/2020","barcode56","barcode56","CS",8,2,32.7410236117019
"53",230,"bulk",4,"S4U4","8/18/2020","","",6.032,5.526,0.092,"11/24/2020","barcode57","barcode57","CS",8,2,93.6981568952984
"54",230,"bag",5,"S5A4","9/14/2020","","",6.019,5.133,0.173,"12/2/2020","barcode58","barcode58","CS",12,2,25.1504122490332
"55",230,"bulk",5,"S5U4","9/14/2020","","",6.06,5.251,0.154,"12/3/2020","barcode59","barcode59","CS",12,2,90.107130412525
"56",310,"bulk",0,"S0U5","6/23/2020","","",6.046,5.381,0.124,"11/12/2020","barcode61","barcode61","CS",0,3,70.5004559593862
"57",310,"bag",1,"S1A5","6/30/2020","","",6.058,5.343,0.134,"11/17/2020","barcode62","barcode62","CS",1,3,15.4489976609654
"58",310,"bulk",1,"S1U5","6/30/2020","","",6.039,5.355,0.128,"11/18/2020","barcode63","barcode63","CS",1,3,61.7202384221384
"59",310,"bag",2,"S2A5","7/7/2020","","",6.035,5.264,0.146,"11/18/2020","barcode64","barcode64","CS",2,3,20.5185349966714
"60",310,"bulk",2,"S2U5","7/7/2020","","",6.048,5.366,0.127,"11/19/2020","barcode65","barcode65","CS",2,3,61.7741248289176
"61",310,"bag",3,"S3A5","7/22/2020","low","grass",6.011,5.171,0.162,"11/20/2020","barcode66","barcode66","CS",4,3,20.9864098797772
"62",310,"bulk",3,"S3U5","7/22/2020","","",6.038,5.333,0.132,"11/23/2020","barcode67","barcode67","CS",4,3,65.4656641452911
"63",310,"bag",4,"S4A5","8/18/2020","high","grass",6.01,5.482,0.096,"11/24/2020","barcode68","barcode68","CS",8,3,30.2540408871155
"64",310,"bulk",4,"S4U5","8/18/2020","","",6.029,5.53,0.09,"11/24/2020","barcode69","barcode69","CS",8,3,70.3875428735956
"65",310,"bag",5,"S5A5","9/14/2020","","",6.029,5.103,0.181,"12/2/2020","barcode70","barcode70","CS",12,3,28.0590302667529
"66",310,"bulk",5,"S5U5","9/14/2020","","",6.039,5.24,0.152,"12/3/2020","barcode71","barcode71","CS",12,3,67.1197192082778
"67",314,"bulk",0,"S0U6","6/23/2020","","",6.065,5.4,0.123,"11/17/2020","barcode73","barcode73","CSSwP",0,3,76.5441418467969
"68",314,"bag",1,"S1A6","6/30/2020","","",6.03,5.316,0.134,"11/17/2020","barcode74","barcode74","CSSwP",1,3,13.3832583088461
"69",314,"bulk",1,"S1U6","6/30/2020","","",6.04,5.34,0.131,"11/18/2020","barcode75","barcode75","CSSwP",1,3,59.2330376576872
"70",314,"bag",2,"S2A6","7/7/2020","","",6.037,5.199,0.161,"11/19/2020","barcode76","barcode76","CSSwP",2,3,18.3019742828956
"71",314,"bulk",2,"S2U6","7/7/2020","","",6.034,5.369,0.124,"11/19/2020","barcode77","barcode77","CSSwP",2,3,62.9140952035837
"72",314,"bag",3,"S3A6","7/22/2020","low","grass",6.036,5.164,0.169,"11/20/2020","barcode78","barcode78","CSSwP",4,3,20.1642050882966
"73",314,"bulk",3,"S3U6","7/22/2020","","",6.049,5.315,0.138,"11/23/2020","barcode79","barcode79","CSSwP",4,3,65.4427117144336
"74",314,"bag",4,"S4A6","8/18/2020","low","grass",5.967,5.443,0.096,"11/24/2020","barcode80","barcode80","CSSwP",8,3,30.7071888648001
"75",314,"bulk",4,"S4U6","8/18/2020","","",6.045,5.639,0.072,"12/2/2020","barcode81","barcode81","CSSwP",8,3,65.1472120862517
"76",314,"bag",5,"S5A6","9/14/2020","","",6.047,5.174,0.169,"12/2/2020","barcode82","barcode82","CSSwP",12,3,23.1660279939533
"77",314,"bulk",5,"S5U6","9/14/2020","","",6.056,5.272,0.149,"12/3/2020","barcode83","barcode83","CSSwP",12,3,59.6457048451895
"78",426,"bulk",0,"S0U7","6/23/2020","","",6.03,5.25,0.149,"11/17/2020","barcode85","barcode85","CSSwP",0,4,77.8252800191919
"79",426,"bag",1,"S1A7","6/30/2020","","",6.063,5.406,0.122,"11/17/2020","barcode86","barcode86","CSSwP",1,4,12.342603182967
"80",426,"bulk",1,"S1U7","6/30/2020","","",6.051,5.274,0.147,"11/18/2020","barcode87","barcode87","CSSwP",1,4,96.8397191955486
"81",426,"bag",2,"S2A7","7/7/2020","","",6.029,5.163,0.168,"11/19/2020","barcode88","barcode88","CSSwP",2,4,17.2246226801534
"82",426,"bulk",2,"S2U7","7/7/2020","","",6.061,5.22,0.161,"11/19/2020","barcode89","barcode89","CSSwP",2,4,78.0167726954913
"83",426,"bag",3,"S3A7","7/22/2020","","",6.044,5.203,0.162,"11/20/2020","barcode90","barcode90","CSSwP",4,4,18.7484712129658
"84",426,"bulk",3,"S3U7","7/22/2020","","",6.009,5.103,0.178,"11/23/2020","barcode91","barcode91","CSSwP",4,4,86.0182908431557
"85",426,"bag",4,"S4A7","8/18/2020","high","grass",6.025,5.521,0.091,"11/24/2020","barcode92","barcode92","CSSwP",8,4,31.3842452549876
"86",426,"bulk",4,"S4U7","8/18/2020","","",6.033,5.475,0.102,"12/2/2020","barcode93","barcode93","CSSwP",8,4,102.892485434974
"87",426,"bag",5,"S5A7","9/14/2020","","",6.044,5.138,0.176,"12/2/2020","barcode94","barcode94","CSSwP",12,4,27.3226087125639
"88",426,"bulk",5,"S5U7","9/14/2020","","",6.039,5.033,0.2,"12/3/2020","barcode95","barcode95","CSSwP",12,4,85.0188173776817
