,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,decay_type,growth_form,,,,
21,26,Chromocleista_sp,FJ430751,SH0906985.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Chromocleista,Chromocleista_sp,Chromocleista_sp_SH0906985.09FU,unspecified_saprotroph,NA,NA,filamentous_mycelium,,,,
22,27,Pleosporales_sp,HE820879,SH1205335.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH1205335.09FU,NA,NA,NA,NA,,,,
23,28,Fusicolla_aquaeductuum,KM231823,SH1239877.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,Fusicolla_aquaeductuum_SH1239877.09FU,mycoparasite,fungal_decomposer,fungal_material,filamentous_mycelium,,,,
24,29,Helotiales_sp,GU055724,SH0975525.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,Helotiales_sp_SH0975525.09FU,NA,NA,NA,NA,,,,
25,30,Operculomyces_sp,UDB02585769,SH1166120.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_sp,Operculomyces_sp_SH1166120.09FU,pollen_saprotroph,NA,pollen,zoosporic-rhizomycelial_(chytrid-like),,,,
26,31,Fusarium_haematococcum,JF433035,SH1445051.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_haematococcum,Fusarium_haematococcum_SH1445051.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
27,32,Microdochium_trichocladiopsis,KP858998,SH0946077.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Microdochium,Microdochium_trichocladiopsis,Microdochium_trichocladiopsis_SH0946077.09FU,plant_pathogen,foliar_endophyte,leaf/fruit/seed,filamentous_mycelium,,,,
28,37,Ceratobasidium_sp,JX042735,SH1040686.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_sp,Ceratobasidium_sp_SH1040686.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,filamentous_mycelium,,
29,38,Triscelophorus_sp,UDB06732142,SH0916782.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Triscelophorus,Triscelophorus_sp,Triscelophorus_sp_SH0916782.09FU,litter_saprotroph,litter_saprotroph,leaf/fruit/seed,filamentous_mycelium,,,,
30,39,Rhizophydiales_sp,UDB06473178,SH1209410.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1209410.09FU,NA,NA,NA,NA,,,,
31,40,Pleotrichocladium_opacum,JN995638,SH0985614.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,Pleotrichocladium_opacum,Pleotrichocladium_opacum_SH0985614.09FU,wood_saprotroph,soil_saprotroph,wood,leaf/fruit/seed,soil,filamentous_mycelium,,
32,41,Mortierella_sp,UDB04897213,SH1196026.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1196026.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
33,43,Ascomycota_sp,UDB06311152,SH1276113.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1276113.09FU,NA,NA,NA,NA,,,,
34,45,Ascomycota_sp,UDB06736436,SH1276307.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1276307.09FU,NA,NA,NA,NA,,,,
35,46,Ascomycota_sp,HM162090,SH1009332.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1009332.09FU,NA,NA,NA,NA,,,,
36,48,Niesslia_mucida,MG826989,SH1078447.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia_mucida,Niesslia_mucida_SH1078447.09FU,litter_saprotroph,dung_saprotroph,wood,leaf/fruit/seed,soil,dung,filamentous_mycelium,
37,49,Mortierella_ambigua,UDB04841880,SH1213079.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_ambigua,Mortierella_ambigua_SH1213079.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
38,50,Fusarium_equiseti,GQ505688,SH3082323.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_equiseti,Fusarium_equiseti_SH3082323.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
39,51,Corynespora_cassiicola,KF266781,SH0978221.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_cassiicola,Corynespora_cassiicola_SH0978221.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
40,52,Perenniporia_paraguyanensis,MH392567,SH1163922.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Perenniporia,Perenniporia_paraguyanensis,Perenniporia_paraguyanensis_SH1163922.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
41,53,Nectriaceae_sp,KX788197,SH0994942.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectriaceae_gen_Incertae_sedis,Nectriaceae_sp,Nectriaceae_sp_SH0994942.09FU,NA,NA,NA,NA,,,,
42,54,Mortierella_sp,UDB04771194,SH1196055.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1196055.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
43,55,Mortierellales_sp,UDB04950611,SH1252051.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellales_fam_Incertae_sedis,Mortierellales_gen_Incertae_sedis,Mortierellales_sp,Mortierellales_sp_SH1252051.09FU,NA,NA,NA,NA,,,,
44,56,Laboulbeniomycetes_sp,UDB01373948,SH0960796.09FU,reps,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniomycetes_ord_Incertae_sedis,Laboulbeniomycetes_fam_Incertae_sedis,Laboulbeniomycetes_gen_Incertae_sedis,Laboulbeniomycetes_sp,Laboulbeniomycetes_sp_SH0960796.09FU,NA,NA,NA,NA,,,,
45,58,Glomeraceae_sp,MT765533,SH0957430.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH0957430.09FU,arbuscular_mycorrhizal,NA,NA,NA,,,,
46,61,Classiculales_sp,UDB0482515,SH0942590.09FU,reps,Fungi,Basidiomycota,Classiculomycetes,Classiculales,Classiculales_fam_Incertae_sedis,Classiculales_gen_Incertae_sedis,Classiculales_sp,Classiculales_sp_SH0942590.09FU,NA,NA,NA,NA,,,,
47,63,Basidiomycota_sp,UDB03120394,SH0942591.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH0942591.09FU,NA,NA,NA,NA,,,,
48,64,Wongia_sp,KU839585,SH0909348.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Papulosaceae,Wongia,Wongia_sp,Wongia_sp_SH0909348.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
49,65,Septoglomus_sp,KF849493,SH0939971.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_sp,Septoglomus_sp_SH0939971.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
50,67,Podila_minutissima,HQ630323,SH0888026.09FU,refs,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,Podila_minutissima,Podila_minutissima_SH0888026.09FU,unspecified_saprotroph,NA,NA,NA,,,,
51,68,Penicillium_sp,UDB0162238,SH1056194.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp,Penicillium_sp_SH1056194.09FU,unspecified_saprotroph,foliar_endophyte,soil,filamentous_mycelium,,,,
52,69,Kickxellomycota_sp,UDB0340342,SH1329011.09FU,reps,Fungi,Kickxellomycota,Kickxellomycota_cls_Incertae_sedis,Kickxellomycota_ord_Incertae_sedis,Kickxellomycota_fam_Incertae_sedis,Kickxellomycota_gen_Incertae_sedis,Kickxellomycota_sp,Kickxellomycota_sp_SH1329011.09FU,NA,NA,NA,NA,,,,
53,70,Fusarium_solani,KT899480,SH0937626.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Fusarium_solani_SH0937626.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
54,73,Fusarium_kurunegalense,JF433036,SH1445045.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_kurunegalense,Fusarium_kurunegalense_SH1445045.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
55,75,Dactylonectria_macrodidyma,AY677290,SH0972898.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Dactylonectria,Dactylonectria_macrodidyma,Dactylonectria_macrodidyma_SH0972898.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
56,76,Ascomycota_sp,UDB05470797,SH1078570.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1078570.09FU,NA,NA,NA,NA,,,,
57,77,Vishniacozyma_victoriae,AF444469,SH0994206.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae,Vishniacozyma_victoriae_SH0994206.09FU,soil_saprotroph,NA,soil,yeast,,,,
58,78,Thelonectria_blackeriella,KX778711,SH1393505.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,Thelonectria_blackeriella,Thelonectria_blackeriella_SH1393505.09FU,litter_saprotroph,NA,leaf/fruit/seed,filamentous_mycelium,,,,
59,79,Tetragoniomycetaceae_sp,UDB05478668,SH1102023.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Tetragoniomycetaceae_gen_Incertae_sedis,Tetragoniomycetaceae_sp,Tetragoniomycetaceae_sp_SH1102023.09FU,NA,NA,NA,NA,,,,
60,80,Septoglomus_viscosum,UDB06941573,SH0939939.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_viscosum,Septoglomus_viscosum_SH0939939.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
61,81,Septoglomus_sp,UDB06941702,SH1145875.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_sp,Septoglomus_sp_SH1145875.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
62,82,Schizothecium_sp,UDB06568671,SH0965329.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_sp,Schizothecium_sp_SH0965329.09FU,dung_saprotroph,NA,dung,filamentous_mycelium,,,,
63,83,Sakaguchia_sp,UDB06521814,SH1223415.09FU,reps,Fungi,Basidiomycota,Cystobasidiomycetes,Sakaguchiales,Sakaguchiaceae,Sakaguchia,Sakaguchia_sp,Sakaguchia_sp_SH1223415.09FU,unspecified_saprotroph,NA,NA,dimorphic_yeast,,,,
64,84,Rhizophlyctis_sp,UDB06412835,SH1067624.09FU,reps,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_sp,Rhizophlyctis_sp_SH1067624.09FU,litter_saprotroph,algal_parasite,leaf/fruit/seed,algal_material,zoosporic-rhizomycelial_(chytrid-like),,,
65,87,Neocosmospora_rubicola,KM231800,SH3195171.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neocosmospora,Neocosmospora_rubicola,Neocosmospora_rubicola_SH3195171.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
66,88,Mortierella_sp,UDB0578238,SH1174856.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1174856.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
67,89,Minimedusa_polyspora,AB972802,SH1291776.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Minimedusa,Minimedusa_polyspora,Minimedusa_polyspora_SH1291776.09FU,lichen_parasite,fungal_decomposer,fungal_material,algal_material,filamentous_mycelium,,,
68,90,Fungi_sp,MZ448583,SH0994959.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH0994959.09FU,NA,NA,NA,NA,,,,
