,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,decay_type,growth_form,,,,
352,694,Talaromyces_purpureogenus,JX315671,SH2062555.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,Talaromyces_purpureogenus,Talaromyces_purpureogenus_SH2062555.09FU,unspecified_saprotroph,NA,leaf/fruit/seed,soil,animal_material,filamentous_mycelium,,
353,695,Talaromyces_neofusisporus,KP765385,SH4242147.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,Talaromyces_neofusisporus,Talaromyces_neofusisporus_SH4242147.09FU,unspecified_saprotroph,NA,leaf/fruit/seed,soil,animal_material,filamentous_mycelium,,
354,698,Syncephalis_sp,UDB0722130,SH1175445.09FU,reps,Fungi,Zoopagomycota,Zoopagomycetes,Zoopagales,Piptocephalidaceae,Syncephalis,Syncephalis_sp,Syncephalis_sp_SH1175445.09FU,mycoparasite,fungal_decomposer,fungal_material,filamentous_mycelium,,,,
355,703,Spizellomycetales_sp,UDB07389061,SH1208317.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1208317.09FU,NA,NA,NA,NA,,,,
356,704,Spizellomycetales_sp,UDB07384398,SH1201939.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1201939.09FU,NA,NA,NA,NA,,,,
357,705,Spizellomycetales_sp,UDB02288925,SH1216871.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1216871.09FU,NA,NA,NA,NA,,,,
358,711,Shanorella_spirotricha,AJ271430,SH1836894.09FU,refs_singleton,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Shanorella,Shanorella_spirotricha,Shanorella_spirotricha_SH1836894.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
359,712,Septoglomus_sp,UDB06941786,SH0939976.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_sp,Septoglomus_sp_SH0939976.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
360,713,Septoglomus_sp,UDB06941654,SH0939963.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_sp,Septoglomus_sp_SH0939963.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
361,714,Septoglomus_sp,UDB0200436,SH0939964.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_sp,Septoglomus_sp_SH0939964.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
362,715,Sclerostagonospora_sp,UDB06701773,SH0990873.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,Sclerostagonospora_sp,Sclerostagonospora_sp_SH0990873.09FU,litter_saprotroph,plant_pathogen,leaf/fruit/seed,filamentous_mycelium,,,,
363,718,Sakaguchia_sp,UDB0206355,SH1223446.09FU,reps,Fungi,Basidiomycota,Cystobasidiomycetes,Sakaguchiales,Sakaguchiaceae,Sakaguchia,Sakaguchia_sp,Sakaguchia_sp_SH1223446.09FU,unspecified_saprotroph,NA,NA,dimorphic_yeast,,,,
364,719,Saccharomycetales_sp,UDB0778560,SH1040262.09FU,reps,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,Saccharomycetales_sp,Saccharomycetales_sp_SH1040262.09FU,NA,NA,NA,NA,,,,
365,721,Rhizopus_arrhizus,JN206324,SH1193255.09FU,refs,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus_arrhizus,Rhizopus_arrhizus_SH1193255.09FU,soil_saprotroph,plant_pathogen,leaf/fruit/seed,soil,filamentous_mycelium,,,
366,722,Rhizophydiales_sp,UDB06473842,SH1209387.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1209387.09FU,NA,NA,NA,NA,,,,
367,723,Rhizophydiales_sp,UDB06466053,SH1118649.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1118649.09FU,NA,NA,NA,NA,,,,
368,724,Rhizophydiales_sp,UDB0278055,SH0908780.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH0908780.09FU,NA,NA,NA,NA,,,,
369,726,Rhizophydiaceae_sp,UDB06437846,SH0908777.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydiaceae_gen_Incertae_sedis,Rhizophydiaceae_sp,Rhizophydiaceae_sp_SH0908777.09FU,NA,NA,NA,NA,,,,
370,728,Ramicandelaber_sp,UDB06292327,SH1119248.09FU,reps,Fungi,Kickxellomycota,Ramicandelaberomycetes,Ramicandelaberales,Ramicandelaberaceae,Ramicandelaber,Ramicandelaber_sp,Ramicandelaber_sp_SH1119248.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
371,734,Pulvinula_sp,UDB05749619,SH0882148.09FU,reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pulvinula,Pulvinula_sp,Pulvinula_sp_SH0882148.09FU,ectomycorrhizal,NA,NA,filamentous_mycelium,,,,
372,736,Pseudophialocephala_humicola,AF486131,SH0979722.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Pseudophialocephala,Pseudophialocephala_humicola,Pseudophialocephala_humicola_SH0979722.09FU,NA,NA,NA,NA,,,,
373,737,Pseudogymnoascus_sp,UDB05334867,SH0956818.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_sp,Pseudogymnoascus_sp_SH0956818.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
374,739,Preussia_flanaganii,AY943061,SH1082255.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_flanaganii,Preussia_flanaganii_SH1082255.09FU,dung_saprotroph,NA,dung,filamentous_mycelium,,,,
375,743,Pluteus_sp,UDB05068413,SH1191448.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus_sp,Pluteus_sp_SH1191448.09FU,litter_saprotroph,NA,leaf/fruit/seed,filamentous_mycelium,,,,
376,744,Pleosporales_sp,UDB05005910,SH1021741.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH1021741.09FU,NA,NA,NA,NA,,,,
377,745,Piptocephalis_sp,UDB04687720,SH1166513.09FU,reps,Fungi,Zoopagomycota,Zoopagomycetes,Zoopagales,Piptocephalidaceae,Piptocephalis,Piptocephalis_sp,Piptocephalis_sp_SH1166513.09FU,mycoparasite,fungal_decomposer,fungal_material,filamentous_mycelium,,,,
378,746,Phallus_hadriani,DQ404385,SH0992458.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus_hadriani,Phallus_hadriani_SH0992458.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
379,747,Pezizomycotina_sp,UDB04342254,SH1041822.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,Pezizomycotina_sp_SH1041822.09FU,NA,NA,NA,NA,,,,
380,752,Penicillium_sp,UDB0277893,SH1104890.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp,Penicillium_sp_SH1104890.09FU,unspecified_saprotroph,foliar_endophyte,soil,filamentous_mycelium,,,,
381,753,Penicillium_burgense,KC411736,SH3810644.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_burgense,Penicillium_burgense_SH3810644.09FU,unspecified_saprotroph,foliar_endophyte,soil,filamentous_mycelium,,,,
382,754,Orbiliaceae_sp,UDB01288861,SH1301025.09FU,reps,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbiliaceae_gen_Incertae_sedis,Orbiliaceae_sp,Orbiliaceae_sp_SH1301025.09FU,NA,NA,NA,NA,,,,
383,755,Operculomyces_laminatus,DQ485617,SH1166118.09FU,refs,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_laminatus,Operculomyces_laminatus_SH1166118.09FU,pollen_saprotroph,NA,pollen,zoosporic-rhizomycelial_(chytrid-like),,,,
384,756,Neosetophoma_guiyangensis,MH018134,SH1092021.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma_guiyangensis,Neosetophoma_guiyangensis_SH1092021.09FU,litter_saprotroph,foliar_endophyte,leaf/fruit/seed,filamentous_mycelium,,,,
385,757,Nectriaceae_sp,UDB02230144,SH0900744.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectriaceae_gen_Incertae_sedis,Nectriaceae_sp,Nectriaceae_sp_SH0900744.09FU,NA,NA,NA,NA,,,,
386,758,Nectriaceae_sp,UDB01939036,SH1160887.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectriaceae_gen_Incertae_sedis,Nectriaceae_sp,Nectriaceae_sp_SH1160887.09FU,NA,NA,NA,NA,,,,
387,760,Mrakia_frigida,KY104296,SH3146640.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia_frigida,Mrakia_frigida_SH3146640.09FU,unspecified_saprotroph,NA,NA,dimorphic_yeast,,,,
388,761,Mrakia_frigida,AF144483,SH1071219.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia_frigida,Mrakia_frigida_SH1071219.09FU,unspecified_saprotroph,NA,NA,dimorphic_yeast,,,,
389,762,Mortierella_sp,UDB04890222,SH1302565.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1302565.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
390,764,Mortierella_sp,UDB04748984,SH1038338.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1038338.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
391,766,Mortierella_sp,HG936971,SH1248207.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1248207.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
392,770,Metarhizium_rileyi,AY624205,SH1111230.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_rileyi,Metarhizium_rileyi_SH1111230.09FU,animal_decomposer,animal_decomposer,animal_material,filamentous_mycelium,,,,
393,772,Leptodontidium_sp,UDB02941365,SH0962950.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leptodontidiaceae,Leptodontidium,Leptodontidium_sp,Leptodontidium_sp_SH0962950.09FU,litter_saprotroph,ericoid_mycorrhizal,leaf/fruit/seed,filamentous_mycelium,,,,
394,774,Kickxellomycota_sp,UDB02430669,SH1119885.09FU,reps,Fungi,Kickxellomycota,Kickxellomycota_cls_Incertae_sedis,Kickxellomycota_ord_Incertae_sedis,Kickxellomycota_fam_Incertae_sedis,Kickxellomycota_gen_Incertae_sedis,Kickxellomycota_sp,Kickxellomycota_sp_SH1119885.09FU,NA,NA,NA,NA,,,,
395,775,Iodophanus_sp,UDB02164982,SH0898387.09FU,reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,Iodophanus_sp,Iodophanus_sp_SH0898387.09FU,soil_saprotroph,dung_saprotroph,soil,dung,burnt_material,filamentous_mycelium,,
396,776,Idriella_sp,UDB03590816,SH1265374.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Idriella,Idriella_sp,Idriella_sp_SH1265374.09FU,litter_saprotroph,root_endophyte,leaf/fruit/seed,filamentous_mycelium,,,,
397,778,Hypocreales_sp,UDB05380007,SH1078444.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp,Hypocreales_sp_SH1078444.09FU,NA,NA,NA,NA,,,,
398,779,Hypocreales_sp,HM162065,SH1079834.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp,Hypocreales_sp_SH1079834.09FU,NA,NA,NA,NA,,,,
399,780,Humicola_sardiniae,MH444272,SH2145297.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_sardiniae,Humicola_sardiniae_SH2145297.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
400,782,Herpotrichia_pinetorum,FJ904482,SH0985650.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Herpotrichia_pinetorum,Herpotrichia_pinetorum_SH0985650.09FU,plant_pathogen,wood_saprotroph,wood,leaf/fruit/seed,roots,filamentous_mycelium,,
401,783,Helotiales_sp,UDB0253889,SH0982965.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,Helotiales_sp_SH0982965.09FU,NA,NA,NA,NA,,,,
402,788,Gongronella_sp,UDB03196926,SH0933511.09FU,reps,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Gongronella,Gongronella_sp,Gongronella_sp_SH0933511.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
403,789,Glomus_sp,UDB0368729,SH0904353.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,Glomus_sp_SH0904353.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
404,790,Glomus_sp,UDB03158956,SH0904354.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,Glomus_sp_SH0904354.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
405,791,Glomus_macrocarpum,MT765493,SH0880030.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_macrocarpum,Glomus_macrocarpum_SH0880030.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
406,792,Glomeraceae_sp,UDB03124068,SH1266514.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH1266514.09FU,arbuscular_mycorrhizal,NA,NA,NA,,,,
407,793,Gliomastix_roseogrisea,MH857544,SH1346449.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Gliomastix,Gliomastix_roseogrisea,Gliomastix_roseogrisea_SH1346449.09FU,unspecified_saprotroph,NA,NA,filamentous_mycelium,,,,
408,794,Gaeumannomyces_setariicola,KX306524,SH1437805.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Gaeumannomyces,Gaeumannomyces_setariicola,Gaeumannomyces_setariicola_SH1437805.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
409,795,Fuscoporia_sp,MH392561,SH1106907.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Fuscoporia,Fuscoporia_sp,Fuscoporia_sp_SH1106907.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
410,796,Fusarium_tonkinense,MG189941,SH3194730.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_tonkinense,Fusarium_tonkinense_SH3194730.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
411,797,Fusarium_sp,UDB02196944,SH1079743.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp,Fusarium_sp_SH1079743.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
412,798,Fusarium_sp,KP903546,SH0994955.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp,Fusarium_sp_SH0994955.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
413,799,Fusarium_oxysporum,MH701862,SH0995067.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH0995067.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
414,800,Fusarium_oxysporum,JX384233,SH0970302.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH0970302.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
415,801,Fusarium_oxysporum,JQ717007,SH1060265.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH1060265.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
416,802,Fusarium_oxysporum,HQ696888,SH0995035.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH0995035.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
417,803,Fusarium_fujikuroi,AB587010,SH1060460.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_fujikuroi,Fusarium_fujikuroi_SH1060460.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
418,804,Fungi_sp,UDB0748448,SH1018621.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1018621.09FU,NA,NA,NA,NA,,,,
419,805,Fungi_sp,UDB0746953,SH1166689.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1166689.09FU,NA,NA,NA,NA,,,,
420,806,Fungi_sp,UDB0638078,SH1238690.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1238690.09FU,NA,NA,NA,NA,,,,
421,807,Fungi_sp,UDB0497706,SH1136811.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1136811.09FU,NA,NA,NA,NA,,,,
422,809,Fungi_sp,UDB0298971,SH1037830.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1037830.09FU,NA,NA,NA,NA,,,,
423,811,Fungi_sp,MT785861,SH1076803.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1076803.09FU,NA,NA,NA,NA,,,,
424,813,Fungi_sp,JX356378,SH1083705.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1083705.09FU,NA,NA,NA,NA,,,,
425,814,Fungi_sp,JX348560,SH1239741.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1239741.09FU,NA,NA,NA,NA,,,,
426,815,Exophiala_alcalophila,JF747041,SH1165412.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_alcalophila,Exophiala_alcalophila_SH1165412.09FU,litter_saprotroph,litter_saprotroph,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
427,864,Cyphellophora_sp,UDB04512275,SH1071514.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora_sp,Cyphellophora_sp_SH1071514.09FU,litter_saprotroph,animal_parasite,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
428,865,Curvularia_inaequalis,HE861822,SH1224281.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_inaequalis,Curvularia_inaequalis_SH1224281.09FU,plant_pathogen,litter_saprotroph,wood,leaf/fruit/seed,roots,algal_material,filamentous_mycelium,
429,867,Conioscypha_bambusicola,LC228645,SH2114567.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Conioscyphales,Conioscyphaceae,Conioscypha,Conioscypha_bambusicola,Conioscypha_bambusicola_SH2114567.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
430,868,Conidiobolus_coronatus,UDB0738641,SH1170530.09FU,reps,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus,Conidiobolus_coronatus,Conidiobolus_coronatus_SH1170530.09FU,animal_decomposer,animal_decomposer,animal_material,filamentous_mycelium,,,,
431,875,Clonostachys_sp,UDB03922102,SH1077246.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_sp,Clonostachys_sp_SH1077246.09FU,wood_saprotroph,plant_pathogen,wood,leaf/fruit/seed,fungal_material,animal_material,filamentous_mycelium,
432,876,Clonostachys_krabiensis,MH388335,SH3170534.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_krabiensis,Clonostachys_krabiensis_SH3170534.09FU,wood_saprotroph,plant_pathogen,wood,leaf/fruit/seed,fungal_material,animal_material,filamentous_mycelium,
433,889,Chrysosporium_sp,MW216032,SH0956786.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Chrysosporium,Chrysosporium_sp,Chrysosporium_sp_SH0956786.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
434,894,Chloridium_sp,UDB01931522,SH0979876.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,Chloridium_sp,Chloridium_sp_SH0979876.09FU,litter_saprotroph,wood_saprotroph,wood,leaf/fruit/seed,roots,animal_material,filamentous_mycelium,
435,896,Chaetosphaeria_sp,UDB01758490,SH0979765.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_sp,Chaetosphaeria_sp_SH0979765.09FU,litter_saprotroph,wood_saprotroph,wood,leaf/fruit/seed,filamentous_mycelium,,,
436,897,Chaetomium_sp,UDB01744498,SH0881793.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_sp,Chaetomium_sp_SH0881793.09FU,litter_saprotroph,foliar_endophyte,wood,leaf/fruit/seed,soil,dung,filamentous_mycelium,
437,898,Chaetomium_cervicicola,KT214558,SH1339328.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_cervicicola,Chaetomium_cervicicola_SH1339328.09FU,litter_saprotroph,foliar_endophyte,wood,leaf/fruit/seed,soil,dung,filamentous_mycelium,
438,924,Candida_albicans,MF767825,SH0987548.09FU,reps,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_albicans,Candida_albicans_SH0987548.09FU,nectar/tap_saprotroph,NA,sugar-rich_substrates,yeast,,,,
439,926,Bullera_alba,AF444662,SH1008214.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera_alba,Bullera_alba_SH1008214.09FU,unspecified_saprotroph,epiphyte,NA,yeast,,,,
440,928,Brocchiosphaera_bulbiformis,LC333005,SH0980096.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Pisorisporiales,Pisorisporiales_fam._incertae_sedis,Brocchiosphaera,Brocchiosphaera_bulbiformis,Brocchiosphaera_bulbiformis_SH0980096.09FU,NA,NA,NA,NA,,,,
441,929,Branch06_sp,UDB01555982,SH1270893.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Branch06,Branch06_fam_Incertae_sedis,Branch06_gen_Incertae_sedis,Branch06_sp,Branch06_sp_SH1270893.09FU,NA,NA,NA,NA,,,,
