rab.all,rab.win.bag,rab.win.bulk,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH,type,species,year
6.08514330676833,7.55966149826562,4.89589102532665,-2.56183291219988,0.914046473679342,-2.64599135292567,0.00390865404955307,1.98007328091538e-05,0.000297010992137306,0.000210033022533023,0.00311407342657343,time1,plant_pathogen,2020
2.14775843110756,3.18940501672512,1.57912378572194,-1.57558609737564,1.14173834359473,-1.28001773534867,0.0898441486173062,0.00577918670339624,0.0249134720242132,0.00978292540792541,0.0370327694191331,time2,arbuscular_mycorrhizal,2020
6.31390489202371,7.21571102074947,5.07993751360648,-2.0797579223805,0.912142846574101,-2.28668827448377,0.00976964768778482,0.000111144796925078,0.00135641407377838,0.000506264568764569,0.00466556591556592,time2,plant_pathogen,2020
5.73851808884582,6.59056962739446,4.81164609794598,-1.78392576841237,0.94430545318051,-1.7992022744966,0.011722097048903,0.000414565238065001,0.00273524457940571,0.000877768065268065,0.00594114219114219,time2,soil_saprotroph,2020
2.32904884765317,2.80893766484531,1.34811427704493,-1.40443193070718,1.04271056689542,-1.26117662085223,0.0917972641136049,0.00716191230745558,0.0280600459215197,0.0106400543900544,0.0389859634000259,time3,arbuscular_mycorrhizal,2020
5.73899187147761,6.37501037080716,4.99861085486302,-1.31362876783,0.926201516370496,-1.38384401302789,0.0585943859309574,0.00241765355260806,0.0148434633337981,0.00323790792540793,0.0201026187354312,time3,plant_pathogen,2020
5.43692756016963,6.18838240521553,4.53481710001086,-1.56529726447044,0.955029951581572,-1.63102614675695,0.0350888062239466,0.00107047450741789,0.00887953690195579,0.00179560023310023,0.0138744718822844,time3,soil_saprotroph,2020
2.49367430056825,3.19712934973519,1.93489661479817,-1.26115125245173,0.823512846342727,-1.45122775435764,0.0409365980850238,0.00291275881993983,0.0128573244961264,0.00286761849261849,0.0143481084887335,time4,arbuscular_mycorrhizal,2020
5.80959585006421,6.40909299976718,4.915723723802,-1.46579771697413,0.916979677179837,-1.4637021895803,0.0545815799777585,0.00190431202045408,0.0103986940906553,0.00349286130536131,0.0163243006993007,time4,plant_pathogen,2020
5.29545311589922,5.93993211399539,4.26554064488859,-1.51271688006234,1.01102608817902,-1.31832476364082,0.111111422812827,0.00435024117473247,0.0171701887593158,0.00870726495726496,0.0314054001554002,time4,soil_saprotroph,2020
4.88507522174043,5.48134493933865,4.08380699708885,-1.40214416777473,0.791458790989453,-1.65053796593311,0.0390634758056844,0.00112707061745311,0.00727865021911822,0.00194493006993007,0.0119691506410256,time4,wood_saprotroph,2020
5.71923356073315,6.36404795877043,5.26036586999824,-1.07018172041484,0.900578563206437,-1.09302189556403,0.0898441486173062,0.0136996280446548,0.0521364673657756,0.0169507575757576,0.0619214658797992,time5,plant_pathogen,2020
1.53637603049509,0.288826858095286,2.50047273562645,2.07395703184922,1.59272571802103,1.24631397877689,0.0859379189065891,0.00589311419756396,0.0359874869141407,0.00507114413364413,0.0326547526547527,time5,pollen_saprotroph,2020
5.74017235054401,6.35617877932141,5.09466545719653,-1.24985839851417,0.921579322317304,-1.27724105155293,0.0955169398287491,0.00696605578840882,0.0374960004389522,0.0101653554778555,0.0474321049321049,time5,soil_saprotroph,2020
2.76070804840332,4.64987738704879,2.19266733749964,-2.47984744955496,1.39877491532371,-1.61612977348847,0.0357156848964354,0.00367342186155179,0.0202021730285178,0.00291375291375291,0.0152426508676509,time1,mycoparasite,2021
6.6001135386822,9.08911420384357,5.7653717274622,-3.31749289265578,0.848481202113716,-3.88162915844475,0.000156632676208107,1.20175248679472e-06,1.65863183744689e-05,0.000310800310800311,0.00367416148666149,time1,plant_pathogen,2021
3.44938717217084,4.87111920619234,2.49288234799436,-2.32861025337802,1.08314969896563,-2.07013108820742,0.00780229535531487,0.000655137469508049,0.00369432215502457,0.000329011266511266,0.00198438714063714,time2,mycoparasite,2021
7.67745719622485,9.02176114371743,5.6948922725667,-3.31598130523966,1.10614975163217,-2.88030592672208,0.000137056276785441,4.6486089198449e-06,6.32173571442421e-05,0.000167540792540793,0.00137816465941466,time2,plant_pathogen,2021
-1.97559703390668,-4.00930392418272,-0.0331930929047508,3.7444613406818,2.75285133986032,1.2729392854443,0.0468758059650558,0.0056144383253494,0.0199992025490451,0.00219866938616939,0.0089202522015022,time2,pollen_saprotroph,2021
3.37705841962874,5.21083661491862,2.55099473495124,-2.63020194790807,1.33473826612072,-1.83304308900451,0.0389873287630664,0.000475332106873953,0.00395008152563874,0.00100888694638695,0.00719788024475524,time3,mycoparasite,2021
7.31646504282093,8.26023398133636,6.40156916020038,-1.76676157410055,1.05115153140192,-1.59160744247013,0.0428858717994706,0.00103220928284764,0.00641499102636818,0.00180531274281274,0.0100949397824398,time3,plant_pathogen,2021
-1.53577101746358,-3.33605699075626,-0.107135134184984,3.18112591426426,2.61516224908022,1.1018834921317,0.0761723536427265,0.0115313834189103,0.0408032464234347,0.00551184926184926,0.0214846785159285,time3,pollen_saprotroph,2021
3.94769121776313,5.38393490873405,2.48229585374747,-2.92806855986061,1.07589263953872,-2.70161175272156,0.000137056276785441,1.38295553155269e-05,0.000207443329732903,0.000171182983682984,0.00229458041958042,time4,mycoparasite,2021
6.85839366802696,7.66760549244294,6.2286249870898,-1.52604751022975,1.26884513133251,-1.18491601357052,0.0820316911087102,0.00503548668521767,0.022294188901831,0.00705006798756799,0.0269519109362859,time4,plant_pathogen,2021
