"","plot","type","time","rotation","sample_id","rep","sampling_date","tin.num","Tin.mass","Wet.mass","Dry.mass","percent_wc","dna_extraction_date","Set","R1.Mass","R1.Conc","R2.Mass","R2.Conc","R3.Mass","R3.Conc","Notes","pcr1_euk_date","Successes","Conc.ng.ul","pcr2_euk_date","Euk.BC.Well","Conc.","pcr1_bac_date","Successes.1","Conc..1","pcr2_bac_date","Bac.BC.Well","Conc..2","bacteria_barcode","week","DNA_ng.ul"
"19",133,"bag",2,"CS","T2A2",1,"7/9/2021",10,27.44,33.9,33.34,0.094915254,"11/12/2021",12,0.25,12.224,0.25,18.344,0.25,10.088,NA,"2/3/2021",3,13.552,"2/5/2021","BC20",10.5,"2/22/2022",3,6.945,"3/2/2022","BC20",14.713,"barcode20",2,13.552
"20",133,"bag",3,"CS","T3A2",1,"7/23/2021",10,27.43,35.71,35.23,0.061538462,"11/1/2021",4,0.25,25.244,0.25,26.804,0.25,19.466,NA,"2/3/2021",3,23.838,"2/5/2021","BC21",10.5,"2/22/2022",3,7.687,"3/2/2022","BC21",12.853,"barcode21",4,23.838
"21",133,"bag",4,"CS","T4A2",1,"8/20/2021",2,36.92,46.99,45.76,0.139140271,"11/8/2021",10,0.25,23.583,0.25,20.28,0.25,22.219,NA,"2/3/2021",3,22.02733333,"2/5/2021","BC22",10.5,"2/22/2022",3,6.672,"3/2/2022","BC22",12.647,"barcode22",8,22.0273333333333
"22",133,"bag",5,"CS","T5A2",1,"9/17/2021",2,36.91,49.01,47.19,0.177042802,"10/9/2021",3,0.25,18.557,0.25,16.834,0.25,18.557,NA,"2/3/2021",3,17.98266667,"2/5/2021","BC23",10.5,"2/22/2022",3,6.692,"3/2/2022","BC23",9.754,"barcode23",12,17.9826666666667
"23",217,"bulk",0,"CSSwP","T0U3",2,"6/25/2021",3,31.46,47.87,46.24,0.110284168,"9/28/2021",0,0.25,66.681,0.25,105,0.25,73.854,NA,"2/3/2021",3,81.845,"2/5/2021","BC25",10.5,"2/22/2022",3,7.429,"3/2/2022","BC25",11.987,"barcode25",0,81.845
"24",217,"bulk",1,"CSSwP","T1U3",2,"7/2/2021",3,31.44,41.96,40.95,0.106203996,"12/13/2021",16,0.25,74.776,0.25,102.122,0.25,90.316,NA,"2/3/2021",3,89.07133333,"2/5/2021","BC26",10.037,"2/22/2022",3,4.367,"3/2/2022","BC26",14.107,"barcode26",1,89.0713333333333
"25",217,"bulk",2,"CSSwP","T2U3",2,"7/9/2021",3,31.41,39.7,38.97,0.096560847,"12/13/2021",16,0.25,105,0.25,105,0.25,93.025,NA,"2/3/2021",3,101.0083333,"2/5/2021","BC27",10.5,"2/22/2022",3,7.823,"3/2/2022","BC27",9.868,"barcode27",2,101.008333333333
"26",217,"bulk",3,"CSSwP","T3U3",2,"7/23/2021",3,31.43,67.84,64.58,0.098340875,"10/9/2021",3,0.25,89.097,0.25,105,0.25,84.898,NA,"2/3/2021",3,92.99833333,"2/5/2021","BC28",10.5,"2/22/2022",3,5.209,"3/2/2022","BC28",15.166,"barcode28",4,92.9983333333333
"27",217,"bulk",4,"CSSwP","T4U3",2,"8/20/2021",11,36.49,46.62,45.05,0.183411215,"11/12/2021",12,0.25,99.4,0.25,105,0.25,105,NA,"2/3/2021",3,103.1333333,"2/5/2021","BC29",10.5,"2/22/2022",3,4.797,"3/2/2022","BC29",13.047,"barcode29",8,103.133333333333
"28",217,"bulk",5,"CSSwP","T5U3",2,"9/17/2021",11,36.5,49.63,47.33,0.212373038,"11/2/2021",5,0.25,97.475,0.25,105,0.25,82.814,NA,"2/3/2021",3,95.09633333,"2/5/2021","BC30",10.5,"2/22/2022",3,5.621,"3/2/2022","BC30",15.431,"barcode30",12,95.0963333333333
"29",217,"bag",1,"CSSwP","T1A3",2,"7/2/2021",11,36.5,44.73,44.18,0.071614583,"11/1/2021",4,0.25,14.998,0.25,16.581,0.25,14.603,NA,"2/3/2021",3,15.394,"2/5/2021","BC31",10.5,"2/22/2022",3,6.535,"3/2/2022","BC31",13.266,"barcode31",1,15.394
"30",217,"bag",2,"CSSwP","T2A3",2,"7/9/2021",11,36.5,45.63,45.1,0.061627907,"11/9/2021",11,0.25,11.941,0.25,12.527,0.25,9.533,NA,"2/3/2021",3,11.33366667,"2/5/2021","BC32",10.5,"2/22/2022",3,5.852,"3/2/2022","BC32",16.572,"barcode32",2,11.3336666666667
"31",217,"bag",3,"CSSwP","T3A3",2,"7/23/2021",11,36.5,51.75,50.94,0.056094183,"10/9/2021",3,0.25,19.414,0.25,29.154,0.25,23.355,NA,"2/3/2021",3,23.97433333,"2/5/2021","BC33",10.5,"2/22/2022",3,8.643,"3/2/2022","BC33",13.06,"barcode33",4,23.9743333333333
"32",217,"bag",4,"CSSwP","T4A3",2,"8/20/2021",3,31.43,41.53,40.23,0.147727273,"11/8/2021",10,0.25,20.783,0.25,16.977,0.25,23.009,NA,"2/3/2021",3,20.25633333,"2/5/2021","BC34",10.5,"2/22/2022",3,7.472,"3/2/2022","BC34",14.093,"barcode34",8,20.2563333333333
"33",217,"bag",5,"CSSwP","T5A3",2,"9/17/2021",3,31.43,44.66,42.67,0.177046263,"11/3/2021",7,0.25,17.911,0.25,16.403,0.25,16.331,NA,"2/3/2021",3,16.88166667,"2/5/2021","BC35",10.5,"2/22/2022",3,7.121,"3/2/2022","BC35",11.614,"barcode35",12,16.8816666666667
"34",220,"bulk",1,"CS","T1U4",2,"7/2/2021",4,27.64,38.13,36.99,0.121925134,"10/8/2021",2,0.25,105,0.25,105,0.25,83.023,NA,"2/3/2021",3,97.67433333,"2/5/2021","BC38",9.997,"2/22/2022",3,5.406,"3/2/2022","BC38",9.338,"barcode38",1,97.6743333333333
