"","plot","type","time","rotation","sample_id","rep","sampling_date","tin.num","Tin.mass","Wet.mass","Dry.mass","percent_wc","dna_extraction_date","Set","R1.Mass","R1.Conc","R2.Mass","R2.Conc","R3.Mass","R3.Conc","Notes","pcr1_euk_date","Successes","Conc.ng.ul","pcr2_euk_date","Euk.BC.Well","Conc.","pcr1_bac_date","Successes.1","Conc..1","pcr2_bac_date","Bac.BC.Well","Conc..2","bacteria_barcode","week","DNA_ng.ul"
"75",411,"bag",5,"CSSwP","T5A7",4,"9/17/2021",7,28.35,41.71,39.83,0.163763066,"12/6/2021",14,0.25,17.695,0.25,21.788,0.25,19.347,NA,"2/3/2021",3,19.61,"2/5/2021","BC83",10.5,"2/22/2022",3,6.243,"3/2/2022","BC83",13.68,"barcode83",12,19.61
"76",434,"bulk",0,"CS","T0U8",4,"6/25/2021",8,36.6,44.04,42.73,0.2137031,"9/28/2021",1,0.25,68.209,0.25,105,0.25,90.733,NA,"2/3/2021",3,87.98066667,"2/5/2021","BC85",10.5,"2/22/2022",3,7.411,"3/2/2022","BC85",5.364,"barcode85",0,87.9806666666667
"77",434,"bulk",1,"CS","T1U8",4,"7/2/2021",8,36.58,46.43,45.38,0.119318182,"12/15/2021",17,0.25,101.834,0.25,100.536,0.25,95.456,NA,"2/3/2021",3,99.27533333,"2/5/2021","BC86",10.5,"2/22/2022",3,5.298,"3/2/2022","BC86",9.603,"barcode86",1,99.2753333333333
"78",434,"bulk",2,"CS","T2U8",4,"7/9/2021",8,36.59,48.44,47.02,0.136145733,"12/10/2021",15,0.25,105,0.25,105,0.25,88.51,NA,"2/3/2021",3,99.50333333,"2/5/2021","BC87",10.5,"2/22/2022",3,6.749,"3/2/2022","BC87",15.431,"barcode87",2,99.5033333333333
"79",434,"bulk",3,"CS","T3U8",4,"7/23/2021",8,36.59,57.75,55.44,0.122546419,"11/2/2021",5,0.25,94.079,0.25,93.427,0.25,74.062,NA,"2/3/2021",3,87.18933333,"2/5/2021","BC88",10.5,"2/22/2022",3,5.889,"3/2/2022","BC88",10.398,"barcode88",4,87.1893333333333
"80",434,"bulk",4,"CS","T4U8",4,"8/20/2021",16,36.46,46.68,45.15,0.176064442,"11/12/2021",12,0.25,105,0.25,105,0.25,93.512,NA,"2/3/2021",2,101.1706667,"2/5/2021","BC89",10.5,"2/22/2022",3,5.585,"3/2/2022","BC89",14.107,"barcode89",8,101.170666666667
"81",434,"bulk",5,"CS","T5U8",4,"9/17/2021",16,36.44,48.56,46.82,0.167630058,"11/8/2021",10,0.25,105,0.25,105,0.25,105,NA,"2/3/2021",3,105,"2/5/2021","BC90",10.5,"2/22/2022",3,3.669,"3/2/2022","BC90",8.279,"barcode90",12,105
"82",434,"bag",1,"CS","T1A8",4,"7/2/2021",16,36.45,44.1,43.65,0.0625,"11/1/2021",4,0.25,10.526,0.25,11.059,0.25,6.129,NA,"2/3/2021",3,9.238,"2/5/2021","BC91",9.018,"2/22/2022",3,5.54,"3/2/2022","BC91",11.2,"barcode91",1,9.238
"83",434,"bag",2,"CS","T2A8",4,"7/9/2021",16,36.41,44.84,44.33,0.064393939,"11/12/2021",12,0.25,12.055,0.25,11.94,0.25,10.922,NA,"2/3/2021",3,11.639,"2/5/2021","BC92",10.5,"2/22/2022",3,5.97,"3/2/2022","BC92",13.68,"barcode92",2,11.639
"84",434,"bag",3,"CS","T3A8",4,"7/23/2021",16,36.44,51.16,50.41,0.053686471,"11/3/2021",7,0.25,20.489,0.25,22.574,0.25,13.978,NA,"2/3/2021",3,19.01366667,"2/5/2021","BC93",10.5,"2/22/2022",3,6.282,"3/2/2022","BC93",16.572,"barcode93",4,19.0136666666667
"85",434,"bag",4,"CS","T4A8",4,"8/20/2021",8,36.58,47.47,46.09,0.14511041,"11/9/2021",11,0.25,18.988,0.25,18.557,0.25,19.275,NA,"2/3/2021",3,18.94,"2/5/2021","BC94",10.5,"2/22/2022",3,5.852,"3/2/2022","BC94",13.68,"barcode94",8,18.94
"86",434,"bag",5,"CS","T5A8",4,"9/17/2021",8,36.57,52.58,50.28,0.167760759,"11/3/2021",7,0.25,18.126,0.25,14.177,0.25,14.393,NA,"2/3/2021",3,15.56533333,"2/5/2021","BC95",10.5,"2/22/2022",3,5.657,"3/2/2022","BC95",12.44,"barcode95",12,15.5653333333333
